Title,Url,Source.Title,Source.Url
Tools,https://github.com/secretGeek/awesomeCSV#tools,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
Repair or Validate CSV,https://github.com/secretGeek/awesomeCSV#repair-or-validate-csv,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
Treat CSV as SQL,https://github.com/secretGeek/awesomeCSV#treat-csv-as-sql,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
Convert to or from CSV,https://github.com/secretGeek/awesomeCSV#convert-to-or-from-csv,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
CSV <-> JSON,https://github.com/secretGeek/awesomeCSV#csv---json,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
Essays,https://github.com/secretGeek/awesomeCSV#essays,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
Data,https://github.com/secretGeek/awesomeCSV#data,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
Conferences,https://github.com/secretGeek/awesomeCSV#conferences,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
Standards,https://github.com/secretGeek/awesomeCSV#standards,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
META: Other similar lists,https://github.com/secretGeek/awesomeCSV#meta-other-similar-lists,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
Code of Conduct,https://github.com/secretGeek/awesomeCSV#code-of-conduct,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
Funtribute,https://github.com/secretGeek/awesomeCSV#funtribute,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
Footnotes,https://github.com/secretGeek/awesomeCSV#footnotes,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
NimbleText/Live,https://nimbletext.com/Live,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
PapaParse,https://www.papaparse.com/,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
d3-dsv,https://github.com/d3/d3-dsv,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
CSVKit,https://csvkit.readthedocs.io/,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
QSV,https://github.com/dathere/qsv,secretGeek/AwesomeCSV: 🕶️A curated list of awesome tools for dealing with CSV.,https://github.com/secretGeek/awesomeCSV#readme
